Time,Latitude,Longitude,Altitude,Speed
2014/09/05 09:11:02 PM,-33.96328,18.85125,133,10
2014/09/05 09:11:04 PM,-33.96331,18.85119,134,9
2014/09/05 09:11:13 PM,-33.96333,18.85086,134,15
2014/09/05 09:11:44 PM,-33.96325,18.85058,135,19
2014/09/05 09:11:46 PM,-33.96328,18.85044,135,21
2014/09/05 09:12:17 PM,-33.96658,18.84561,113,87
2014/09/05 09:14:06 PM,-33.98478,18.83442,130,103
2014/09/05 09:14:31 PM,-33.9885,18.82819,117,98
2014/09/05 09:14:34 PM,-33.98917,18.82772,114,103
2014/09/05 09:14:41 PM,-33.99092,18.82703,104,107
2014/09/05 09:17:17 PM,-34.02736,18.82036,104,97
2014/09/05 09:19:36 PM,-34.05742,18.82975,125,95
2014/09/05 09:19:46 PM,-34.05981,18.8295,110,97
2014/09/05 09:21:54 PM,-34.07642,18.82153,31,20
2014/09/05 09:21:57 PM,-34.07658,18.82164,30,31
2014/09/05 09:22:55 PM,-34.08367,18.82908,18,69
2014/09/05 09:23:10 PM,-34.08467,18.83197,21,70
2014/09/05 09:23:24 PM,-34.08503,18.83486,24,69
2014/09/05 09:23:38 PM,-34.08692,18.83697,23,71
2014/09/05 09:24:36 PM,-34.09278,18.84314,23,62
2014/09/05 09:26:37 PM,-34.10319,18.85422,25,0
2014/09/05 09:26:40 PM,-34.10319,18.85422,25,2
2014/09/05 09:29:34 PM,-34.12233,18.88478,39,98
2014/09/05 09:29:38 PM,-34.12278,18.88583,40,99
2014/09/05 09:32:33 PM,-34.13472,18.92094,157,82
2014/09/05 09:32:42 PM,-34.135,18.92311,171,80
2014/09/05 09:33:11 PM,-34.13317,18.92967,207,82
2014/09/05 09:33:16 PM,-34.13253,18.93061,212,82
2014/09/05 09:33:20 PM,-34.13178,18.93108,217,82
2014/09/05 09:33:24 PM,-34.13094,18.93117,222,83
2014/09/05 09:33:30 PM,-34.12978,18.93069,231,80
2014/09/05 09:33:36 PM,-34.12869,18.93028,239,76
2014/09/05 09:33:40 PM,-34.12794,18.93042,245,75
2014/09/05 09:33:44 PM,-34.12736,18.93097,250,75
2014/09/05 09:33:48 PM,-34.12703,18.93178,255,75
2014/09/05 09:33:52 PM,-34.12706,18.93269,260,75
2014/09/05 09:33:56 PM,-34.12742,18.93347,266,75
2014/09/05 09:34:01 PM,-34.12817,18.93414,273,75
2014/09/05 09:34:30 PM,-34.13303,18.93742,310,75
2014/09/05 09:34:39 PM,-34.13478,18.93719,319,79
2014/09/05 09:34:44 PM,-34.13569,18.937,327,71
2014/09/05 09:34:47 PM,-34.13614,18.93667,331,70
2014/09/05 09:34:51 PM,-34.13653,18.93597,337,70
2014/09/05 09:35:17 PM,-34.13897,18.93158,373,67
2014/09/05 09:35:22 PM,-34.13967,18.93103,380,65
2014/09/05 09:35:47 PM,-34.14344,18.93,412,60
2014/09/05 09:36:00 PM,-34.14536,18.92967,428,60
2014/09/05 09:36:25 PM,-34.14936,18.92844,446,64
2014/09/05 09:36:33 PM,-34.15061,18.929,437,66
2014/09/05 09:36:36 PM,-34.15094,18.92944,432,68
2014/09/05 09:36:39 PM,-34.15111,18.93003,427,68
2014/09/05 09:36:42 PM,-34.15097,18.93067,423,75
2014/09/05 09:36:53 PM,-34.14997,18.93311,409,86
2014/09/05 09:36:57 PM,-34.15011,18.93414,403,89
2014/09/05 09:37:26 PM,-34.15303,18.94125,377,96
2014/09/05 09:38:57 PM,-34.15281,18.96569,440,87
2014/09/05 09:40:04 PM,-34.16122,18.98164,410,104
2014/09/05 09:41:13 PM,-34.16644,19.00139,334,98
2014/09/05 09:41:57 PM,-34.16236,19.01225,289,92
2014/09/05 09:42:17 PM,-34.16294,19.01767,272,92
2014/09/05 09:42:43 PM,-34.16494,19.02414,284,82
2014/09/05 09:42:51 PM,-34.16453,19.026,297,78
2014/09/05 09:43:15 PM,-34.16253,19.03089,322,69
2014/09/05 09:43:33 PM,-34.16283,19.03361,319,43
2014/09/05 09:43:47 PM,-34.16358,19.03514,311,43
2014/09/05 09:45:05 PM,-34.17058,19.04692,321,65
2014/09/05 09:46:40 PM,-34.17744,19.06144,337,55
2014/09/05 09:49:39 PM,-34.18703,19.09336,260,72
2014/09/05 09:49:53 PM,-34.18864,19.09581,243,76
2014/09/05 09:50:05 PM,-34.19083,19.09733,234,73
2014/09/05 09:50:27 PM,-34.19339,19.1,243,66
2014/09/05 09:50:36 PM,-34.19375,19.10161,243,60
2014/09/05 09:50:47 PM,-34.19353,19.10367,240,65
2014/09/05 09:52:33 PM,-34.19036,19.12131,288,45
2014/09/05 09:52:44 PM,-34.19078,19.12308,295,66
2014/09/05 09:53:00 PM,-34.19278,19.12572,308,81
2014/09/05 09:53:34 PM,-34.19839,19.13103,318,75
2014/09/05 09:53:52 PM,-34.19917,19.1355,306,88
2014/09/05 09:54:11 PM,-34.19983,19.14075,314,95
2014/09/05 09:54:34 PM,-34.20361,19.14564,303,98
2014/09/05 09:54:52 PM,-34.20667,19.14928,288,89
2014/09/05 09:55:02 PM,-34.20728,19.15186,295,84
2014/09/05 09:55:08 PM,-34.20733,19.15308,297,81
2014/09/05 09:55:15 PM,-34.20778,19.15503,295,89
2014/09/05 09:55:21 PM,-34.20867,19.15625,288,88
2014/09/05 09:55:30 PM,-34.21011,19.15797,278,94
2014/09/05 09:55:47 PM,-34.21208,19.16211,290,89
2014/09/05 09:55:55 PM,-34.21336,19.16358,299,87
2014/09/05 09:55:58 PM,-34.21356,19.16433,302,86
2014/09/05 09:56:14 PM,-34.21392,19.16844,320,87
2014/09/05 09:56:35 PM,-34.21661,19.17308,331,89
2014/09/05 09:56:41 PM,-34.21783,19.17378,329,90
2014/09/05 09:56:56 PM,-34.22086,19.1745,307,82
2014/09/05 09:57:00 PM,-34.22136,19.17531,301,85
2014/09/05 09:57:03 PM,-34.22147,19.17608,295,87
2014/09/05 09:57:16 PM,-34.22153,19.17958,272,94
2014/09/05 09:57:23 PM,-34.22192,19.18142,260,93
2014/09/05 09:57:27 PM,-34.22169,19.1825,254,90
2014/09/05 09:57:32 PM,-34.22097,19.18356,243,95
2014/09/05 09:57:52 PM,-34.21775,19.18742,208,80
2014/09/05 09:57:55 PM,-34.21764,19.18817,203,83
2014/09/05 09:57:58 PM,-34.21778,19.18889,198,85
2014/09/05 09:58:01 PM,-34.21819,19.1895,193,81
2014/09/05 09:58:04 PM,-34.21872,19.18983,188,81
2014/09/05 09:58:07 PM,-34.21933,19.18986,183,81
2014/09/05 09:58:10 PM,-34.21992,19.18964,179,84
2014/09/05 09:58:23 PM,-34.22264,19.188,159,100
2014/09/05 09:58:55 PM,-34.23114,19.18803,127,98
2014/09/05 09:59:03 PM,-34.23292,19.18919,122,103
2014/09/05 09:59:11 PM,-34.23428,19.19108,114,103
2014/09/05 09:59:21 PM,-34.235,19.19411,99,108
2014/09/05 10:00:09 PM,-34.23553,19.21,57,110
2014/09/05 10:01:24 PM,-34.23378,19.23431,74,99
2014/09/05 10:01:48 PM,-34.23186,19.24061,70,85
2014/09/05 10:02:51 PM,-34.23511,19.25644,118,97
2014/09/05 10:03:00 PM,-34.23422,19.25883,125,99
2014/09/05 10:03:33 PM,-34.22975,19.26642,172,81
2014/09/05 10:03:56 PM,-34.22869,19.27142,204,69
2014/09/05 10:04:03 PM,-34.22783,19.27233,213,64
2014/09/05 10:04:19 PM,-34.22567,19.27406,227,67
2014/09/05 10:04:54 PM,-34.2225,19.28139,239,95
2014/09/05 10:05:00 PM,-34.22236,19.28317,239,99
2014/09/05 10:05:09 PM,-34.22303,19.28572,246,101
2014/09/05 10:05:43 PM,-34.22489,19.29533,244,100
2014/09/05 10:07:06 PM,-34.21628,19.31861,231,96
2014/09/05 10:07:15 PM,-34.21458,19.32028,218,99
2014/09/05 10:07:28 PM,-34.21219,19.32228,196,85
2014/09/05 10:07:34 PM,-34.21158,19.32369,187,92
2014/09/05 10:07:39 PM,-34.21147,19.32511,179,95
2014/09/05 10:10:09 PM,-34.21128,19.36764,183,87
2014/09/05 10:10:38 PM,-34.21061,19.37575,197,90
2014/09/05 10:11:43 PM,-34.20886,19.39344,192,88
2014/09/05 10:12:02 PM,-34.21075,19.39778,177,88
2014/09/05 10:12:12 PM,-34.21236,19.39961,186,87
2014/09/05 10:12:59 PM,-34.22094,19.40642,233,91
2014/09/05 10:13:45 PM,-34.22619,19.41833,266,100
2014/09/05 10:14:16 PM,-34.22764,19.42669,274,71
2014/09/05 10:14:50 PM,-34.22658,19.43375,295,59
2014/09/05 10:14:57 PM,-34.22592,19.43472,303,60
2014/09/05 10:15:11 PM,-34.22389,19.43606,320,64
2014/09/05 10:15:19 PM,-34.22317,19.43714,327,67
2014/09/05 10:15:28 PM,-34.22272,19.43894,336,73
2014/09/05 10:16:00 PM,-34.22228,19.447,339,92
2014/09/05 10:18:32 PM,-34.22969,19.48908,351,95
2014/09/05 10:18:41 PM,-34.229,19.49161,347,100
2014/09/05 10:19:01 PM,-34.22653,19.49678,325,102
2014/09/05 10:19:08 PM,-34.22683,19.49894,327,106
2014/09/05 10:19:15 PM,-34.22778,19.50083,329,106
2014/09/05 10:19:31 PM,-34.23042,19.50442,327,97
2014/09/05 10:19:36 PM,-34.23047,19.50589,321,100
2014/09/05 10:19:55 PM,-34.22819,19.51128,288,105
2014/09/05 10:20:04 PM,-34.22661,19.51342,273,110
2014/09/05 10:20:12 PM,-34.22475,19.51467,263,100
2014/09/05 10:20:17 PM,-34.22383,19.51575,264,100
2014/09/05 10:20:21 PM,-34.2235,19.51692,264,102
2014/09/05 10:20:26 PM,-34.22353,19.51844,265,103
2014/09/05 10:20:30 PM,-34.224,19.51956,268,104
2014/09/05 10:20:47 PM,-34.22653,19.52356,289,98
2014/09/05 10:20:53 PM,-34.22661,19.52536,291,102
2014/09/05 10:21:28 PM,-34.22414,19.53608,301,107
2014/09/05 10:21:56 PM,-34.22528,19.54419,318,105
2014/09/05 10:22:09 PM,-34.22419,19.54814,316,107
2014/09/05 10:22:29 PM,-34.22133,19.55336,323,96
2014/09/05 10:22:34 PM,-34.22025,19.55403,328,96
2014/09/05 10:22:46 PM,-34.21758,19.55528,340,97
2014/09/05 10:23:02 PM,-34.21486,19.55872,356,98
2014/09/05 10:23:07 PM,-34.21461,19.56014,363,95
2014/09/05 10:23:22 PM,-34.21464,19.56419,381,91
2014/09/05 10:23:41 PM,-34.21186,19.56861,396,97
2014/09/05 10:24:09 PM,-34.20669,19.57444,405,107
2014/09/05 10:24:14 PM,-34.20644,19.57603,404,110
2014/09/05 10:24:45 PM,-34.20703,19.58633,401,113
2014/09/05 10:25:09 PM,-34.204,19.59381,366,113
2014/09/05 10:25:20 PM,-34.20464,19.59747,355,112
2014/09/05 10:25:31 PM,-34.20419,19.60117,332,115
2014/09/05 10:25:58 PM,-34.20039,19.60892,333,107
2014/09/05 10:26:05 PM,-34.20078,19.61114,337,110
2014/09/05 10:26:18 PM,-34.20169,19.61519,327,108
2014/09/05 10:26:27 PM,-34.20119,19.61817,313,114
2014/09/05 10:27:47 PM,-34.19619,19.64392,310,93
2014/09/05 10:29:19 PM,-34.18206,19.66819,268,105
2014/09/05 10:29:26 PM,-34.18181,19.67036,258,104
2014/09/05 10:30:09 PM,-34.18422,19.68408,220,104
2014/09/05 10:30:20 PM,-34.18286,19.68758,230,102
2014/09/05 10:30:30 PM,-34.18236,19.69028,237,103
2014/09/05 10:33:29 PM,-34.18103,19.74506,232,103
2014/09/05 10:33:37 PM,-34.18017,19.74728,239,103
2014/09/05 10:34:32 PM,-34.17178,19.76125,281,98
2014/09/05 10:34:39 PM,-34.17181,19.76331,275,99
2014/09/05 10:35:01 PM,-34.17331,19.76956,262,98
2014/09/05 10:35:19 PM,-34.17553,19.77444,235,105
2014/09/05 10:35:21 PM,-34.17561,19.77508,235,106
2014/09/05 10:35:29 PM,-34.17556,19.77758,244,102
2014/09/05 10:38:29 PM,-34.16375,19.83286,216,105
2014/09/05 10:40:22 PM,-34.15744,19.8705,182,103
2014/09/05 10:41:29 PM,-34.15383,19.89208,164,106
2014/09/05 10:42:13 PM,-34.15136,19.90489,163,67
2014/09/05 10:42:34 PM,-34.14969,19.90811,158,55
2014/09/05 10:43:46 PM,-34.15111,19.91975,146,52
2014/09/05 10:43:56 PM,-34.15167,19.92128,145,57
2014/09/05 10:44:20 PM,-34.15369,19.92503,148,76
2014/09/05 10:45:23 PM,-34.15628,19.94375,130,79
2014/09/05 10:46:55 PM,-34.15828,19.96189,186,72
2014/09/05 10:47:11 PM,-34.15717,19.9655,177,86
2014/09/05 10:48:41 PM,-34.14333,19.98625,146,110
2014/09/05 10:50:25 PM,-34.14039,20.0197,183,91
2014/09/05 10:50:36 PM,-34.13942,20.02267,180,100
2014/09/05 10:50:50 PM,-34.13714,20.02575,179,98
2014/09/05 10:52:22 PM,-34.11839,20.04292,140,107
2014/09/05 10:53:58 PM,-34.10731,20.07006,160,107
2014/09/05 10:55:21 PM,-34.09003,20.08342,137,92
2014/09/05 10:55:25 PM,-34.08961,20.08442,138,92
2014/09/05 10:56:13 PM,-34.08639,20.09778,120,88
2014/09/05 10:56:31 PM,-34.08647,20.10281,125,97
2014/09/05 10:59:30 PM,-34.09767,20.15675,140,98
2014/09/05 11:00:27 PM,-34.09878,20.17344,181,92
2014/09/05 11:02:30 PM,-34.09986,20.20953,180,99
2014/09/05 11:02:42 PM,-34.09994,20.21353,170,107
2014/09/05 11:05:28 PM,-34.10586,20.26547,156,112
2014/09/05 11:05:41 PM,-34.10583,20.26997,128,116
2014/09/05 11:08:41 PM,-34.10597,20.32311,117,92
2014/09/05 11:10:21 PM,-34.10725,20.35392,114,105
2014/09/05 11:11:03 PM,-34.10211,20.36622,93,113
2014/09/05 11:12:06 PM,-34.09411,20.38358,138,107
2014/09/05 11:15:05 PM,-34.06219,20.41883,75,77
2014/09/05 11:16:37 PM,-34.0477,20.42917,90,57
2014/09/05 11:18:05 PM,-34.03511,20.43575,121,77
2014/09/05 11:18:30 PM,-34.03133,20.43933,122,75
2014/09/05 11:19:50 PM,-34.02453,20.45475,148,74
2014/09/05 11:20:48 PM,-34.0235,20.46767,161,82
2014/09/05 11:21:38 PM,-34.02703,20.48056,157,104
2014/09/05 11:23:47 PM,-34.03786,20.52092,78,95
2014/09/05 11:24:47 PM,-34.03636,20.53669,71,96
2014/09/05 11:26:39 PM,-34.04289,20.56875,113,102
2014/09/05 11:26:43 PM,-34.04353,20.57011,116,104
2014/09/05 11:28:02 PM,-34.05608,20.5895,166,106
2014/09/05 11:28:29 PM,-34.05733,20.59747,195,94
2014/09/05 11:28:49 PM,-34.05675,20.60331,206,101
2014/09/05 11:28:58 PM,-34.05781,20.60581,208,105
2014/09/05 11:31:38 PM,-34.08947,20.64483,238,101
2014/09/05 11:31:40 PM,-34.08961,20.64539,239,101
2014/09/05 11:32:45 PM,-34.08836,20.66492,277,112
2014/09/05 11:35:45 PM,-34.09353,20.72531,270,116
2014/09/05 11:36:01 PM,-34.09483,20.73036,289,107
2014/09/05 11:36:40 PM,-34.10233,20.73978,277,100
2014/09/05 11:36:56 PM,-34.10411,20.74403,264,112
2014/09/05 11:37:07 PM,-34.10419,20.74783,249,118
2014/09/05 11:37:44 PM,-34.10297,20.76014,203,111
2014/09/05 11:39:05 PM,-34.106,20.78342,242,91
2014/09/05 11:39:56 PM,-34.1015,20.79825,252,109
2014/09/05 11:40:04 PM,-34.10253,20.80069,246,115
2014/09/05 11:41:07 PM,-34.1135,20.81842,230,122
2014/09/05 11:41:41 PM,-34.11467,20.8295,202,117
2014/09/05 11:43:51 PM,-34.11819,20.87517,162,115
2014/09/05 11:46:42 PM,-34.11211,20.93464,93,92
2014/09/05 11:46:50 PM,-34.11186,20.9365,91,89
2014/09/05 11:48:33 PM,-34.10464,20.95664,115,64
2014/09/05 11:48:53 PM,-34.10264,20.95933,110,41
2014/09/05 11:51:43 PM,-34.10028,20.96106,99,0
2014/09/05 11:51:53 PM,-34.10025,20.96111,99,0
2014/09/05 11:53:03 PM,-34.10025,20.96111,98,2
2014/09/05 11:53:07 PM,-34.10019,20.96117,98,7
2014/09/05 11:53:11 PM,-34.10017,20.96125,98,17
2014/09/05 11:53:44 PM,-34.09647,20.96461,80,67
2014/09/05 11:56:33 PM,-34.08611,20.98425,136,99
2014/09/05 11:56:45 PM,-34.08578,20.98781,138,99
2014/09/05 11:57:41 PM,-34.0835,21.0045,154,86
2014/09/05 11:57:52 PM,-34.08428,21.007,149,78
2014/09/05 11:58:04 PM,-34.08592,21.00903,140,77
2014/09/05 11:58:30 PM,-34.08933,21.013,151,75
2014/09/05 11:59:28 PM,-34.09233,21.02592,120,78
2014/09/06 12:01:45 AM,-34.09761,21.06028,149,103
2014/09/06 12:02:27 AM,-34.10106,21.07225,187,91
2014/09/06 12:05:07 AM,-34.12553,21.10911,163,112
2014/09/06 12:05:23 AM,-34.12503,21.11417,171,94
2014/09/06 12:06:47 AM,-34.11683,21.13583,208,110
2014/09/06 12:08:23 AM,-34.10817,21.16444,217,109
2014/09/06 12:10:13 AM,-34.10189,21.20033,241,107
2014/09/06 12:11:48 AM,-34.08983,21.22939,176,105
2014/09/06 12:12:17 AM,-34.08811,21.23786,152,85
2014/09/06 12:12:39 AM,-34.08811,21.24194,135,59
2014/09/06 12:13:01 AM,-34.08942,21.24586,133,57
2014/09/06 12:13:55 AM,-34.09472,21.2525,140,52
2014/09/06 12:14:02 AM,-34.09558,21.25294,146,54
2014/09/06 12:14:09 AM,-34.09656,21.25297,154,57
2014/09/06 12:14:44 AM,-34.10147,21.25203,188,59
2014/09/06 12:16:49 AM,-34.1255,21.26153,163,87
2014/09/06 12:16:58 AM,-34.12717,21.26289,159,90
2014/09/06 12:17:08 AM,-34.12861,21.26486,149,88
2014/09/06 12:17:19 AM,-34.12936,21.26772,128,96
2014/09/06 12:17:38 AM,-34.13036,21.27308,95,92
2014/09/06 12:17:43 AM,-34.13119,21.27417,86,99
2014/09/06 12:18:23 AM,-34.14047,21.27894,98,100
2014/09/06 12:18:47 AM,-34.14603,21.28003,84,91
2014/09/06 12:18:51 AM,-34.14661,21.28092,84,96
2014/09/06 12:18:55 AM,-34.14689,21.28203,88,96
2014/09/06 12:18:59 AM,-34.14678,21.28317,95,93
2014/09/06 12:19:13 AM,-34.14594,21.28669,117,85
2014/09/06 12:19:20 AM,-34.14644,21.28836,124,87
2014/09/06 12:20:17 AM,-34.15303,21.30183,155,79
2014/09/06 12:20:22 AM,-34.15394,21.30236,150,84
2014/09/06 12:20:27 AM,-34.155,21.30242,139,88
2014/09/06 12:20:41 AM,-34.15803,21.30164,113,95
2014/09/06 12:20:48 AM,-34.15969,21.30256,99,111
2014/09/06 12:21:00 AM,-34.16186,21.30561,91,108
2014/09/06 12:21:50 AM,-34.16847,21.31658,143,70
2014/09/06 12:22:09 AM,-34.17036,21.32033,144,83
2014/09/06 12:25:08 AM,-34.17522,21.38167,158,107
2014/09/06 12:26:51 AM,-34.18319,21.41728,161,120
2014/09/06 12:28:08 AM,-34.18806,21.44503,174,121
2014/09/06 12:31:08 AM,-34.20094,21.50886,166,123
2014/09/06 12:33:38 AM,-34.21297,21.559,213,117
